Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2015-11-18,Z (Dec 2015),0,0,0,0,0,0,0,0,0
2015-11-19,Z (Dec 2015),0.0000,18.6000,17.9000,0,18.6000,0,0,0,0
2015-11-20,Z (Dec 2015),0.0000,18.4500,18.0500,0.0000,18.0500,-0.5500,0,0,0
2015-11-23,Z (Dec 2015),18.1000,18.1000,17.7500,17.9000,17.7000,-0.3500,12,0,10
2015-11-24,Z (Dec 2015),17.9000,18.2500,17.7500,17.9000,17.9500,0.2500,2,0,10
2015-11-25,Z (Dec 2015),17.9000,18.0000,17.6500,17.7000,17.5000,-0.4500,5,0,11
2015-11-27,Z (Dec 2015),17.7000,17.7000,17.5000,17.7000,17.7000,0.2000,2,0,13
2015-11-30,Z (Dec 2015),17.6000,17.9000,17.6000,17.6000,17.6250,-0.0750,35,0,48
2015-12-01,Z (Dec 2015),16.8500,17.5000,16.8500,16.8500,16.8250,-0.8000,1,0,47
2015-12-02,Z (Dec 2015),17.0000,17.6000,16.6500,17.5500,17.4750,0.6500,38,0,33
2015-12-03,Z (Dec 2015),18.2000,19.2000,17.3500,18.2000,18.7750,1.3000,1,0,33
2015-12-04,Z (Dec 2015),18.0000,18.6000,17.2000,18.0000,17.1000,-1.6750,6,0,37
2015-12-07,Z (Dec 2015),17.6000,18.1000,17.2000,17.6000,17.3500,0.2500,6,0,34
2015-12-08,Z (Dec 2015),18.4000,18.6000,17.5000,18.2000,18.3500,1.0000,11,0,42
2015-12-09,Z (Dec 2015),18.2000,19.5000,17.7000,18.6000,19.1250,0.7750,2,0,43
2015-12-10,Z (Dec 2015),0.0000,19.1500,18.5000,0.0000,19.2500,0.1250,0,0,43
2015-12-11,Z (Dec 2015),20.3500,22.0000,19.0500,21.7500,22.0250,2.7750,12,0,48
2015-12-14,Z (Dec 2015),22.6000,22.6000,20.3000,20.3500,20.4000,-1.6250,193,0,229
2015-12-15,Z (Dec 2015),19.5000,20.4500,19.2000,19.5000,19.0000,-1.4000,1,0,228
2015-12-16,Z (Dec 2015),18.7000,18.7500,17.3000,18.0000,17.5750,-1.4250,12,0,230
2015-12-17,Z (Dec 2015),17.5000,18.7000,17.1000,18.7000,18.4000,0.8250,44,0,186
2015-12-18,Z (Dec 2015),19.5000,20.5500,18.8000,20.3500,20.3250,1.9250,22,0,174
2015-12-21,Z (Dec 2015),0.0000,19.8000,19.0500,0.0000,18.7000,-1.6250,0,0,174
2015-12-22,Z (Dec 2015),17.9000,18.7000,17.1000,17.1000,17.5250,-1.1750,48,0,174
2015-12-23,Z (Dec 2015),16.7500,17.1500,16.7000,16.9000,16.7750,-0.7500,72,0,194
2015-12-24,Z (Dec 2015),17.1000,17.1000,16.7000,17.1000,16.9250,0.1500,4,0,194
2015-12-28,Z (Dec 2015),17.5000,17.8000,16.8000,16.9000,16.7750,-0.1500,151,0,317
2015-12-29,Z (Dec 2015),16.8500,16.8500,15.8500,15.9000,15.9250,-0.8500,84,0,339
2015-12-30,Z (Dec 2015),0.0000,16.0500,16.2000,0.0000,16.7900,0.8650,0,0,339
