Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2019-02-21,J (Apr 2019),0.0000,15.7500,16.2500,0.0000,16.0000,0,0,0,0
2019-02-22,J (Apr 2019),0.0000,15.3000,15.9000,0.0000,15.4250,-0.5750,0,0,0
2019-02-25,J (Apr 2019),15.6000,15.6000,14.6000,14.6000,15.7000,0.2750,8,0,0
2019-02-26,J (Apr 2019),0.0000,15.6000,16.0000,0.0000,15.9250,0.2250,0,0,0
2019-02-27,J (Apr 2019),0.0000,15.9500,16.1500,0.0000,15.8500,-0.0750,0,0,0
2019-02-28,J (Apr 2019),0.0000,15.5500,15.8500,0.0000,15.7750,-0.0750,0,0,0
2019-03-01,J (Apr 2019),0.0000,15.4000,15.4500,0.0000,15.1000,-0.6750,0,0,0
2019-03-04,J (Apr 2019),16.1200,16.4200,15.1000,15.9500,15.4500,0.3500,8,0,8
2019-03-05,J (Apr 2019),0.0000,15.5000,15.4000,0.0000,15.5500,0.1000,0,0,8
2019-03-06,J (Apr 2019),15.9500,16.0000,15.8000,15.9500,16.0750,0.5250,5,0,9
2019-03-07,J (Apr 2019),16.8000,16.8000,16.4000,16.8000,16.6000,0.5250,1,0,10
2019-03-08,J (Apr 2019),17.2000,17.2000,16.9000,17.2000,16.6500,0.0500,12,0,12
2019-03-11,J (Apr 2019),15.5500,16.1000,15.5500,15.5500,15.3250,-1.3250,1,0,12
2019-03-12,J (Apr 2019),15.2500,15.2500,15.1500,15.2500,14.9750,-0.3500,1,0,12
2019-03-13,J (Apr 2019),14.6500,14.7000,14.6500,14.7000,14.7500,-0.2250,4,0,15
2019-03-14,J (Apr 2019),14.6000,14.6000,14.6000,14.6000,14.6000,-0.1500,9,0,19
2019-03-15,J (Apr 2019),0.0000,14.2500,14.2000,0.0000,14.2500,-0.3500,0,0,19
2019-03-18,J (Apr 2019),14.6500,14.6500,14.1500,14.1500,14.1250,-0.1250,8,0,24
2019-03-19,J (Apr 2019),0.0000,14.4000,14.3000,0.0000,14.5000,0.3750,0,0,24
2019-03-20,J (Apr 2019),14.8000,14.9000,14.3500,14.9000,14.8000,0.3000,3,0,25
2019-03-21,J (Apr 2019),0.0000,15.1000,14.5500,0.0000,14.5750,-0.2250,0,0,25
2019-03-22,J (Apr 2019),15.5000,16.9000,15.1500,16.7500,16.6750,2.1000,34,0,27
2019-03-25,J (Apr 2019),16.6500,17.3500,16.6500,17.0500,16.7750,0.1000,10,0,33
2019-03-26,J (Apr 2019),15.7000,15.7500,15.3000,15.7500,15.4500,-1.3250,129,0,151
2019-03-27,J (Apr 2019),15.4000,16.7000,15.4000,16.0000,15.7500,0.3000,26,0,139
2019-03-28,J (Apr 2019),14.9500,15.6500,14.9000,14.9000,15.0500,-0.7000,6,0,139
2019-03-29,J (Apr 2019),0.0000,14.5500,14.5500,0.0000,14.5250,-0.5250,0,0,139
2019-04-01,J (Apr 2019),13.8500,14.0500,13.5000,13.5000,13.6000,-0.9250,90,0,206
2019-04-02,J (Apr 2019),13.4500,13.5000,13.4000,13.4000,13.3000,-0.3000,27,0,233
2019-04-03,J (Apr 2019),0.0000,7.5500,0.0000,0.0000,13.1200,-0.1800,0,0,233
