Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2020-06-25,Q (Aug 2020),0.0000,33.9500,33.1500,0.0000,32.30,0,0,0,0
2020-06-26,Q (Aug 2020),33.5500,33.8000,33.5500,33.5500,34.625,2.325,3,0,3
2020-06-29,Q (Aug 2020),0.0000,33.9500,32.9500,0.0000,32.425,-2.200,0,0,3
2020-06-30,Q (Aug 2020),0.0000,32.2000,31.3000,0.0000,30.925,-1.500,0,0,3
2020-07-01,Q (Aug 2020),30.8500,30.8500,30.7500,30.7500,30.425,-0.500,6,0,6
2020-07-02,Q (Aug 2020),29.9500,30.5500,29.6500,29.9500,30.25,-0.175,3,0,6
2020-07-06,Q (Aug 2020),0.0000,30.8500,29.2500,0.0000,30.30,0.05,0,0,6
2020-07-07,Q (Aug 2020),0.0000,31.5000,29.9500,0.0000,31.475,1.175,0,0,6
2020-07-08,Q (Aug 2020),0.0000,31.8500,30.4000,0.0000,30.50,-0.975,0,0,6
2020-07-09,Q (Aug 2020),0.0000,32.2000,30.1500,0.0000,31.175,0.675,0,0,6
2020-07-10,Q (Aug 2020),30.0000,31.6000,29.8500,30.0000,30.00,-1.175,5,0,11
2020-07-13,Q (Aug 2020),30.1500,33.3500,29.5500,32.0000,32.80,2.80,10,0,21
2020-07-14,Q (Aug 2020),32.2000,33.5000,30.7500,31.0000,30.85,-1.95,10,0,31
2020-07-15,Q (Aug 2020),0.0000,31.0000,29.5500,0.0000,29.80,-1.05,0,0,31
2020-07-16,Q (Aug 2020),0.0000,30.9000,29.2500,0.0000,29.60,-0.20,0,0,31
2020-07-17,Q (Aug 2020),0.0000,29.5000,28.1000,0.0000,28.175,-1.425,0,0,31
2020-07-20,Q (Aug 2020),0.0000,28.2000,26.3500,0.0000,26.60,-1.575,0,0,31
2020-07-21,Q (Aug 2020),26.1500,27.3500,25.7500,26.1000,26.775,0.175,10,0,31
2020-07-22,Q (Aug 2020),0.0000,27.8500,26.5500,0.0000,26.55,-0.225,0,0,31
2020-07-23,Q (Aug 2020),26.4000,28.1000,26.0000,27.9000,28.15,1.60,8,0,37
2020-07-24,Q (Aug 2020),27.3000,29.1500,26.5000,28.6000,27.85,-0.30,95,0,78
2020-07-27,Q (Aug 2020),28.4000,28.4000,26.0500,26.5000,26.025,-1.825,11,0,75
2020-07-28,Q (Aug 2020),26.3000,26.8000,25.1500,26.4500,26.225,0.200,14,0,76
2020-07-29,Q (Aug 2020),25.5500,26.0000,25.0000,25.2500,25.10,-1.125,60,0,117
2020-07-30,Q (Aug 2020),26.0000,28.6500,25.4000,26.5000,25.65,0.55,44,0,108
2020-07-31,Q (Aug 2020),26.0000,26.9500,25.1000,25.7000,25.75,0.10,20,0,109
2020-08-03,Q (Aug 2020),25.2000,26.2000,24.6000,24.8000,24.70,-1.05,25,0,101
2020-08-04,Q (Aug 2020),24.3000,24.8500,23.9000,24.0000,24.05,-0.65,34,0,120
2020-08-05,Q (Aug 2020),0.0000,23.6500,23.2000,0.0000,23.10,-0.95,0,0,120
