Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2017-08-23,V (Oct 2017),0,0,0,0,0,0,0,0,0
2017-08-24,V (Oct 2017),0.0000,14.1500,13.8000,0.0000,13.9250,0,0,0,0
2017-08-25,V (Oct 2017),14.0000,14.0000,13.7000,13.9000,13.5000,-0.4250,4,0,3
2017-08-28,V (Oct 2017),13.9000,13.9000,13.6500,13.9000,13.5750,0.0750,1,0,4
2017-08-29,V (Oct 2017),14.1000,14.7500,13.7500,13.9000,13.7500,0.1750,2,0,4
2017-08-30,V (Oct 2017),13.6500,13.7500,13.6000,13.7500,13.7750,0.0250,3,0,7
2017-08-31,V (Oct 2017),13.6500,13.7500,13.4500,13.5000,13.4250,-0.3500,18,0,25
2017-09-01,V (Oct 2017),13.3500,13.4000,13.3000,13.4000,13.5000,0.0750,25,0,37
2017-09-05,V (Oct 2017),14.2000,14.6500,13.7500,14.1500,13.8500,0.3500,4,0,38
2017-09-06,V (Oct 2017),13.8500,14.1000,13.2500,13.8500,13.7500,-0.1000,26,0,49
2017-09-07,V (Oct 2017),13.8500,13.9500,13.7500,13.8500,13.7000,-0.0500,3,0,50
2017-09-08,V (Oct 2017),13.9800,14.0500,13.8000,13.9500,13.9250,0.2250,14,0,49
2017-09-11,V (Oct 2017),13.2000,13.3500,13.0000,13.0000,13.0500,-0.8750,5,0,52
2017-09-12,V (Oct 2017),13.1000,13.2000,12.8000,12.8000,12.8250,-0.2250,12,0,48
2017-09-13,V (Oct 2017),12.7500,12.7500,12.3000,12.3000,12.3500,-0.4750,12,0,54
2017-09-14,V (Oct 2017),12.5500,12.6000,12.1500,12.2500,12.2000,-0.1500,67,0,114
2017-09-15,V (Oct 2017),12.5000,12.5000,12.0000,12.1000,12.0000,-0.2000,12,0,110
2017-09-18,V (Oct 2017),11.7000,11.7500,11.4000,11.4500,11.5000,-0.5000,17,0,108
2017-09-19,V (Oct 2017),11.5000,11.7000,11.3000,11.7000,11.6250,0.1250,167,0,217
2017-09-20,V (Oct 2017),11.5000,11.6500,11.2500,11.2500,11.4250,-0.2000,93,0,246
2017-09-21,V (Oct 2017),11.2000,11.5500,11.1500,11.2000,11.2500,-0.1750,104,0,327
2017-09-22,V (Oct 2017),11.5500,11.6500,11.1500,11.1500,11.2750,0.0250,102,0,405
2017-09-25,V (Oct 2017),11.4500,11.8500,11.0000,11.2500,11.2500,-0.0250,147,0,457
2017-09-26,V (Oct 2017),11.4000,11.5500,11.1000,11.2000,11.2250,-0.0250,127,0,549
2017-09-27,V (Oct 2017),11.1000,11.2000,10.7000,10.9500,10.8750,-0.3500,294,0,627
2017-09-28,V (Oct 2017),10.9500,10.9500,10.6500,10.7500,10.6750,-0.2000,188,0,637
2017-09-29,V (Oct 2017),10.7500,10.7500,10.2500,10.4000,10.3000,-0.3750,202,0,706
2017-10-02,V (Oct 2017),9.9500,10.3000,9.8500,9.9000,9.8500,-0.4500,162,0,573
2017-10-03,V (Oct 2017),9.7000,9.9500,9.7000,9.9000,9.8000,-0.0500,91,0,517
2017-10-04,V (Oct 2017),9.9500,9.9500,9.9000,9.9500,9.6100,-0.1900,1,0,516
