Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2016-03-02,J (Apr 2016),0,0,0,0,0,0,0,0,0
2016-03-03,J (Apr 2016),20.3500,20.3500,20.3000,20.3500,19.9750,0,10,0,10
2016-03-04,J (Apr 2016),0.0000,19.9500,19.7500,0.0000,20.2250,0.2500,0,0,10
2016-03-07,J (Apr 2016),0.0000,20.2500,20.1000,0.0000,19.9500,-0.2750,0,0,10
2016-03-08,J (Apr 2016),0.0000,20.5500,20.5000,0.0000,20.6750,0.7250,0,0,10
2016-03-09,J (Apr 2016),0.0000,20.6500,20.6000,0.0000,20.3750,-0.3000,0,0,10
2016-03-10,J (Apr 2016),0.0000,20.8500,19.9500,0.0000,20.1250,-0.2500,0,0,10
2016-03-11,J (Apr 2016),0.0000,19.9500,19.5000,0.0000,19.3250,-0.8000,0,0,10
2016-03-14,J (Apr 2016),0.0000,19.3500,19.1500,0.0000,19.0500,-0.2750,0,0,10
2016-03-15,J (Apr 2016),0.0000,19.4500,19.3000,0.0000,19.3250,0.2750,0,0,10
2016-03-16,J (Apr 2016),0.0000,19.5000,18.7000,0.0000,18.6250,-0.7000,0,0,10
2016-03-17,J (Apr 2016),0.0000,18.8500,18.2000,0.0000,18.3000,-0.3250,0,0,10
2016-03-18,J (Apr 2016),0.0000,18.1500,18.0000,0.0000,18.2750,-0.0250,0,0,10
2016-03-21,J (Apr 2016),0.0000,18.0000,17.7000,0.0000,17.4750,-0.8000,0,0,10
2016-03-22,J (Apr 2016),0.0000,17.7000,17.4500,0.0000,17.2250,-0.2500,0,0,10
2016-03-23,J (Apr 2016),0.0000,18.1500,17.5500,0.0000,18.2250,1.0000,0,0,10
2016-03-24,J (Apr 2016),18.4500,18.8500,18.2000,18.4500,17.9750,-0.2500,6,0,10
2016-03-28,J (Apr 2016),0.0000,18.1000,17.7500,0.0000,17.7250,-0.2500,0,0,10
2016-03-29,J (Apr 2016),0.0000,17.9500,16.9000,0.0000,16.7000,-1.0250,0,0,10
2016-03-30,J (Apr 2016),16.7000,16.7000,16.3000,16.7000,16.5750,-0.1250,1,0,11
2016-03-31,J (Apr 2016),0.0000,16.6500,16.4500,0.0000,16.5500,-0.0250,0,0,11
2016-04-01,J (Apr 2016),0.0000,17.0500,16.1500,0.0000,16.0250,-0.5250,0,0,11
2016-04-04,J (Apr 2016),0.0000,16.4000,16.1000,0.0000,16.5250,0.5000,0,0,11
2016-04-05,J (Apr 2016),17.3000,17.4000,16.7000,17.3000,17.4000,0.8750,1,0,12
2016-04-06,J (Apr 2016),16.7500,17.4500,16.3500,16.4000,16.2500,-1.1500,13,0,11
2016-04-07,J (Apr 2016),16.6000,18.1500,16.3500,17.3500,17.7750,1.5250,2,0,11
2016-04-08,J (Apr 2016),16.8000,17.7500,16.8000,16.8000,17.2750,-0.5000,21,0,31
2016-04-11,J (Apr 2016),0.0000,17.4500,16.7000,0.0000,17.5000,0.2250,0,0,31
2016-04-12,J (Apr 2016),17.3500,17.6500,16.5000,16.6000,16.5000,-1.0000,65,0,72
2016-04-13,J (Apr 2016),16.4000,16.4000,15.3500,15.4000,15.3250,-1.1750,25,0,72
2016-04-14,J (Apr 2016),15.4000,15.4000,15.1500,15.4000,15.1250,-0.2000,5,0,72
2016-04-15,J (Apr 2016),15.2500,15.4000,15.2000,15.2500,15.0750,-0.0500,25,0,97
2016-04-18,J (Apr 2016),14.8000,15.7000,14.4500,14.6000,14.4750,-0.6000,31,0,72
2016-04-19,J (Apr 2016),14.1100,14.7000,14.1000,14.4500,14.2000,-0.2750,5,0,71
2016-04-20,J (Apr 2016),13.5500,14.3500,13.5500,13.8000,14.2750,0.0750,69,0,138
2016-04-21,J (Apr 2016),14.0500,14.7500,14.0500,14.7000,14.5500,0.2750,103,0,123
2016-04-22,J (Apr 2016),14.7500,14.8000,14.1000,14.1000,14.1500,-0.4000,20,0,130
2016-04-25,J (Apr 2016),14.7000,14.7000,14.0500,14.3000,14.2750,0.1250,11,0,129
2016-04-26,J (Apr 2016),14.1200,14.3000,13.8500,14.0500,14.0750,-0.2000,21,0,142
2016-04-27,J (Apr 2016),0.0000,14.2500,14.2000,0.0000,14.3900,0.3150,0,0,142
