Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2015-07-22,Q (Aug 2015),0,0,0,0,0,0,0,0,0
2015-07-23,Q (Aug 2015),13.1000,13.8000,13.0000,13.6500,13.4750,0,164,0,94
2015-07-24,Q (Aug 2015),13.8000,14.5500,13.5000,14.4000,14.2000,0.7250,337,0,92
2015-07-27,Q (Aug 2015),15.2000,15.7000,14.9000,15.7000,15.3250,1.1250,179,0,229
2015-07-28,Q (Aug 2015),14.9000,15.3000,13.7000,13.8500,13.7750,-1.5500,275,0,220
2015-07-29,Q (Aug 2015),13.2500,13.7500,13.1000,13.2000,13.2000,-0.5750,94,0,216
2015-07-30,Q (Aug 2015),13.7500,13.7500,12.9500,12.9500,12.9250,-0.2750,231,0,141
2015-07-31,Q (Aug 2015),13.2500,13.3500,12.6500,13.0000,12.9750,0.0500,97,0,97
2015-08-03,Q (Aug 2015),13.1500,13.6500,12.6000,12.9500,12.7750,-0.2000,185,0,97
2015-08-04,Q (Aug 2015),12.7500,13.2500,12.5500,13.0500,13.0750,0.3000,177,0,46
2015-08-05,Q (Aug 2015),0.0000,13.0000,13.1000,0.0000,12.1600,-0.9150,0,0,46
