Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2016-06-08,N (Jul 2016),0,0,0,0,0,0,0,0,0
2016-06-09,N (Jul 2016),0.0000,17.5000,17.8000,0.0000,17.7000,0,0,0,0
2016-06-10,N (Jul 2016),0.0000,18.4500,18.7000,0.0000,18.9250,1.2250,0,0,0
2016-06-13,N (Jul 2016),0.0000,20.8000,19.8000,0.0000,21.3500,2.4250,0,0,0
2016-06-14,N (Jul 2016),0.0000,21.2500,21.2000,0.0000,21.0000,-0.3500,0,0,0
2016-06-15,N (Jul 2016),0.0000,20.2500,20.5000,0.0000,20.7250,-0.2750,0,0,0
2016-06-16,N (Jul 2016),0.0000,21.6000,20.7000,0.0000,20.3500,-0.3750,0,0,0
2016-06-17,N (Jul 2016),0.0000,19.9500,20.4500,0.0000,20.3250,-0.0250,0,0,0
2016-06-20,N (Jul 2016),0.0000,18.8500,18.6000,0.0000,18.9750,-1.3500,0,0,0
2016-06-21,N (Jul 2016),0.0000,18.9000,18.6000,0.0000,18.9750,0.0000,0,0,0
2016-06-22,N (Jul 2016),0.0000,19.4500,18.8000,0.0000,19.6750,0.7000,0,0,0
2016-06-23,N (Jul 2016),19.1500,19.1500,17.6500,18.9500,17.1750,-2.5000,10,0,0
2016-06-24,N (Jul 2016),23.2500,24.3500,17.2500,22.0000,22.2500,5.0750,63,0,63
2016-06-27,N (Jul 2016),0.0000,22.9500,22.1000,0.0000,22.7250,0.4750,0,0,63
2016-06-28,N (Jul 2016),19.6000,22.9500,19.5000,19.5000,19.2500,-3.4750,4,0,63
2016-06-29,N (Jul 2016),0.0000,19.1000,18.2500,0.0000,18.0000,-1.2500,0,0,63
2016-06-30,N (Jul 2016),0.0000,18.2000,17.8000,0.0000,17.5000,-0.5000,0,0,63
2016-07-01,N (Jul 2016),17.0000,17.6000,17.0000,17.0000,17.3000,-0.2000,1,0,64
2016-07-05,N (Jul 2016),0.0000,18.1000,17.1500,0.0000,17.5500,0.2500,0,0,64
2016-07-06,N (Jul 2016),18.0000,18.2500,16.9500,18.0000,16.8750,-0.6750,1,0,64
2016-07-07,N (Jul 2016),0.0000,17.4000,16.6000,0.0000,16.5500,-0.3250,0,0,64
2016-07-08,N (Jul 2016),15.5000,16.8500,15.5000,15.5000,15.6250,-0.9250,12,0,76
2016-07-11,N (Jul 2016),0.0000,15.4000,15.2000,0.0000,15.4000,-0.2250,0,0,75
2016-07-12,N (Jul 2016),15.1500,15.3500,15.0500,15.1500,15.0000,-0.4000,20,0,95
2016-07-13,N (Jul 2016),15.1000,15.2500,14.9000,14.9000,14.9000,-0.1000,48,0,122
2016-07-14,N (Jul 2016),14.8700,14.9000,14.7000,14.7000,14.7750,-0.1250,20,0,139
2016-07-15,N (Jul 2016),15.2000,15.2000,14.5000,14.7500,14.8000,0.0250,55,0,174
2016-07-18,N (Jul 2016),14.1500,14.6000,14.0500,14.1800,14.1250,-0.6750,54,0,222
2016-07-19,N (Jul 2016),13.9000,14.1000,13.5500,13.5500,13.5000,-0.6250,57,0,256
2016-07-20,N (Jul 2016),13.5000,13.8000,12.9000,13.3500,13.3500,-0.1500,135,0,368
2016-07-21,N (Jul 2016),13.2500,13.9000,13.2500,13.7300,13.6500,0.3000,113,0,446
2016-07-22,N (Jul 2016),13.1000,13.6500,12.9500,13.0600,13.1000,-0.5500,49,0,484
2016-07-25,N (Jul 2016),13.0000,13.9000,13.0000,13.3500,13.2000,0.1000,64,0,518
2016-07-26,N (Jul 2016),13.3500,13.7000,13.1000,13.2500,13.2500,0.0500,96,0,528
2016-07-27,N (Jul 2016),13.2000,13.2000,12.9500,13.2000,13.1500,-0.1000,17,0,511
