Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2017-11-22,F (Jan 2018),0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
2017-11-24,F (Jan 2018),0.0000,12.2500,12.2000,0,12.2750,0,0,0,0
2017-11-27,F (Jan 2018),0.0000,12.4000,12.4000,0.0000,12.3500,0.0750,0,0,0
2017-11-28,F (Jan 2018),0.0000,12.2500,12.1000,0.0000,12.1000,-0.2500,0,0,0
2017-11-29,F (Jan 2018),0.0000,12.3000,12.1000,0.0000,12.2500,0.1500,0,0,0
2017-11-30,F (Jan 2018),12.0500,12.1000,12.0000,12.0500,12.1250,-0.1250,33,0,33
2017-12-01,F (Jan 2018),12.4000,12.9000,12.0500,12.4500,12.2250,0.1000,63,0,96
2017-12-04,F (Jan 2018),0.0000,12.2500,11.6500,0.0000,12.3000,0.0750,0,0,96
2017-12-05,F (Jan 2018),0.0000,12.3500,12.0000,0.0000,12.3500,0.0500,0,0,96
2017-12-06,F (Jan 2018),12.3500,12.4000,12.3000,12.4000,12.2500,-0.1000,12,0,94
2017-12-07,F (Jan 2018),11.9000,11.9500,11.8500,11.9000,11.7500,-0.5000,7,0,95
2017-12-08,F (Jan 2018),11.4000,11.6000,11.4000,11.4000,11.4000,-0.3500,3,0,93
2017-12-11,F (Jan 2018),11.3000,11.4000,11.1000,11.1000,11.1000,-0.3000,79,0,31
2017-12-12,F (Jan 2018),11.0500,11.1000,10.9500,11.0500,11.1500,0.0500,7,0,31
2017-12-13,F (Jan 2018),11.0000,11.2000,10.9500,11.0000,11.1500,0.0000,3,0,34
2017-12-14,F (Jan 2018),11.2500,11.4500,11.0500,11.2500,11.2250,0.0750,2,0,36
2017-12-15,F (Jan 2018),11.0000,11.4000,10.6500,10.6500,10.8000,-0.3500,84,0,84
2017-12-18,F (Jan 2018),10.6500,10.7000,10.5500,10.6000,10.6250,-0.1750,2,0,85
2017-12-19,F (Jan 2018),11.9000,11.9000,10.3500,11.0000,10.8750,0.2500,41,0,77
2017-12-20,F (Jan 2018),10.7000,10.7500,10.3500,10.6500,10.7000,-0.1750,104,0,151
2017-12-21,F (Jan 2018),10.5500,10.8500,10.5000,10.5500,10.6000,-0.1000,120,0,236
2017-12-22,F (Jan 2018),10.6000,10.8500,10.4500,10.6000,10.6750,0.0750,170,0,325
2017-12-26,F (Jan 2018),10.6000,10.6500,10.4500,10.4500,10.5500,-0.1250,82,0,392
2017-12-27,F (Jan 2018),10.3500,10.9000,10.3500,10.8000,10.7750,0.2250,165,0,361
2017-12-28,F (Jan 2018),18.6000,18.6000,10.5500,10.7500,10.6500,-0.1250,99,0,292
2017-12-29,F (Jan 2018),10.5000,11.2000,10.5000,11.1500,11.1500,0.5000,166,0,281
2018-01-02,F (Jan 2018),10.8500,10.8500,9.8000,10.1000,10.0000,-1.1500,255,0,103
2018-01-03,F (Jan 2018),10.1500,10.1500,10.0500,10.1500,9.7300,-0.2700,1,0,103
