Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2021-04-29,M (Jun 2021),0.0000,21.5500,21.2500,0.0000,21.175,0,0,0,0
2021-04-30,M (Jun 2021),0.0000,21.6000,21.6000,0.0000,21.775,0.600,0,0,0
2021-05-03,M (Jun 2021),0.0000,21.4500,21.4500,0.0000,21.225,-0.550,0,0,0
2021-05-04,M (Jun 2021),0.0000,22.4500,21.4500,0.0000,21.875,0.650,0,0,0
2021-05-05,M (Jun 2021),0.0000,21.6500,21.5500,0.0000,21.325,-0.550,0,0,0
2021-05-06,M (Jun 2021),0.0000,21.9500,21.3000,0.0000,21.25,-0.075,0,0,0
2021-05-07,M (Jun 2021),0.0000,21.3000,20.2000,0.0000,20.175,-1.075,0,0,0
2021-05-10,M (Jun 2021),0.0000,21.1000,19.9000,0.0000,20.95,0.775,0,0,0
2021-05-11,M (Jun 2021),0.0000,22.2500,21.1500,0.0000,21.925,0.975,0,0,0
2021-05-12,M (Jun 2021),24.5500,25.2500,22.1500,24.6000,24.65,2.725,48,0,46
2021-05-13,M (Jun 2021),22.9500,25.0500,22.7000,23.3000,22.975,-1.675,3,0,43
2021-05-14,M (Jun 2021),21.3500,22.5500,20.6000,20.8000,20.65,-2.325,15,0,42
2021-05-17,M (Jun 2021),21.4000,22.0000,20.9500,21.8500,21.525,0.875,12,0,53
2021-05-18,M (Jun 2021),21.2000,21.8500,20.8500,21.2000,21.975,0.450,1,0,52
2021-05-19,M (Jun 2021),23.9500,24.9000,22.5000,24.3000,22.75,0.775,27,0,68
2021-05-20,M (Jun 2021),21.9500,23.3000,21.6000,21.6000,21.875,-0.875,24,0,46
2021-05-21,M (Jun 2021),21.7500,22.0000,21.4500,21.5500,21.65,-0.225,2,0,48
2021-05-24,M (Jun 2021),20.7000,21.4000,20.5000,20.7000,20.60,-1.05,1,0,49
2021-05-25,M (Jun 2021),20.5500,20.7500,20.4000,20.5500,20.40,-0.20,6,0,55
2021-05-26,M (Jun 2021),19.8000,20.1000,19.3000,19.8000,19.325,-1.075,1,0,56
2021-05-27,M (Jun 2021),18.6000,19.7000,18.3500,18.6000,18.60,-0.725,2,0,56
2021-05-28,M (Jun 2021),18.2000,18.7500,18.2000,18.2000,18.825,0.225,2,0,56
2021-06-01,M (Jun 2021),19.3000,19.3000,18.1500,19.1500,19.15,0.325,8,0,48
2021-06-02,M (Jun 2021),18.8500,19.2000,18.0500,18.6500,18.45,-0.70,22,0,50
2021-06-03,M (Jun 2021),18.9000,19.6500,18.4000,18.4000,18.875,0.425,20,0,66
2021-06-04,M (Jun 2021),18.7500,18.9500,17.2500,17.2500,17.40,-1.475,4,0,68
2021-06-07,M (Jun 2021),16.7500,17.4500,16.7500,16.7500,16.725,-0.675,1,0,68
2021-06-08,M (Jun 2021),17.2000,17.7500,16.7000,16.9000,17.075,0.350,13,0,67
2021-06-09,M (Jun 2021),0.0000,17.2500,17.1000,0.0000,16.92,-0.155,0,0,60
