Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2018-03-29,K (May 2018),0.0000,19.6000,19.0500,0.0000,19.1500,0,0,0,0
2018-04-02,K (May 2018),0.0000,20.6000,19.4000,0.0000,20.0500,0.9000,0,0,0
2018-04-03,K (May 2018),0.0000,19.5000,20.2000,0.0000,19.6250,-0.4250,0,0,0
2018-04-04,K (May 2018),0.0000,20.2500,19.9500,0.0000,19.2250,-0.4000,0,0,0
2018-04-05,K (May 2018),0.0000,18.7000,19.2000,0.0000,18.6750,-0.5500,0,0,0
2018-04-06,K (May 2018),0.0000,20.0500,19.5000,0.0000,19.8250,1.1500,0,0,0
2018-04-09,K (May 2018),0.0000,19.5500,19.8000,0.0000,19.9750,0.1500,0,0,0
2018-04-10,K (May 2018),0.0000,19.6500,19.6000,0.0000,19.5250,-0.4500,0,0,0
2018-04-11,K (May 2018),0.0000,19.7500,19.3000,0.0000,19.6000,0.0750,0,0,0
2018-04-12,K (May 2018),0.0000,19.0500,18.6000,0.0000,18.6500,-0.9500,0,0,0
2018-04-13,K (May 2018),18.3000,18.5500,18.0500,18.5000,18.1000,-0.5500,21,0,21
2018-04-16,K (May 2018),0.0000,17.5500,17.1000,0.0000,17.2000,-0.9000,0,0,21
2018-04-17,K (May 2018),0.0000,16.8000,15.8500,0.0000,16.1500,-1.0500,0,0,21
2018-04-18,K (May 2018),16.3000,16.7500,16.0000,16.7500,16.1000,-0.0500,16,0,23
2018-04-19,K (May 2018),16.7500,17.2500,16.2000,16.5000,16.3500,0.2500,46,0,64
2018-04-20,K (May 2018),0.0000,17.0000,16.1500,0.0000,16.9000,0.5500,0,0,64
2018-04-23,K (May 2018),16.3000,16.9000,16.2000,16.5500,16.5500,-0.3500,14,0,78
2018-04-24,K (May 2018),17.7500,18.1500,16.0000,17.2000,17.2000,0.6500,11,0,69
2018-04-25,K (May 2018),17.8000,18.1500,17.2500,17.4500,17.2500,0.0500,35,0,85
2018-04-26,K (May 2018),16.8500,17.1500,16.4500,16.5500,16.4500,-0.8000,5,0,87
2018-04-27,K (May 2018),16.2500,16.8500,16.1500,16.2500,16.0500,-0.4000,9,0,95
2018-04-30,K (May 2018),15.9000,16.3000,15.7500,15.9500,16.1500,0.1000,31,0,110
2018-05-01,K (May 2018),16.2500,16.7000,16.0000,16.1000,16.0500,-0.1000,28,0,109
2018-05-02,K (May 2018),15.8500,16.2500,15.5500,15.9500,16.3500,0.3000,28,0,131
2018-05-03,K (May 2018),16.6500,17.9500,16.5000,17.9500,16.3250,-0.0250,66,0,107
2018-05-04,K (May 2018),16.0000,17.0500,15.7000,15.9000,15.8000,-0.5250,17,0,112
2018-05-07,K (May 2018),15.7000,15.7500,15.1500,15.2500,15.2500,-0.5500,24,0,107
2018-05-08,K (May 2018),15.5000,15.6500,15.0000,15.0500,14.9750,-0.2750,23,0,103
2018-05-09,K (May 2018),14.7000,14.7500,14.7000,14.7000,14.4100,-0.5650,10,0,103
