Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2020-04-30,M (Jun 2020),0.0000,32.8000,33.8500,0.0000,33.3250,0,0,0,0
2020-05-01,M (Jun 2020),0.0000,35.0000,36.3000,0.0000,36.2250,2.9000,0,0,0
2020-05-04,M (Jun 2020),0.0000,35.8000,36.2500,0.0000,34.9750,-1.2500,0,0,0
2020-05-05,M (Jun 2020),0.0000,32.7000,34.0500,0.0000,33.7000,-1.2750,0,0,0
2020-05-06,M (Jun 2020),0.0000,31.3000,36.0000,0.0000,34.5500,0.8500,0,0,0
2020-05-07,M (Jun 2020),0.0000,32.1000,33.7000,0.0000,32.5000,-2.0500,0,0,0
2020-05-08,M (Jun 2020),0.0000,30.9000,31.4500,0.0000,30.2750,-2.2250,0,0,0
2020-05-11,M (Jun 2020),0.0000,30.3000,29.4500,0.0000,28.6750,-1.6000,0,0,0
2020-05-12,M (Jun 2020),0.0000,31.5500,28.5500,0.0000,32.7500,4.0750,0,0,0
2020-05-13,M (Jun 2020),0.0000,34.7500,32.3500,0.0000,34.8500,2.1000,0,0,0
2020-05-14,M (Jun 2020),0.0000,34.5500,35.2000,0.0000,32.6750,-2.1750,0,0,0
2020-05-15,M (Jun 2020),0.0000,34.4000,33.2000,0.0000,32.4500,-0.2250,0,0,0
2020-05-18,M (Jun 2020),0.0000,30.8500,30.1000,0.0000,29.775,-2.6750,0,0,0
2020-05-19,M (Jun 2020),30.4000,31.5500,30.0500,30.0500,31.775,2.000,3,0,3
2020-05-20,M (Jun 2020),0.0000,30.8000,30.1500,0.0000,29.225,-2.550,0,0,3
2020-05-21,M (Jun 2020),0.0000,31.5000,30.1500,0.0000,31.375,2.150,0,0,3
2020-05-22,M (Jun 2020),33.0000,33.0000,30.5000,31.2500,29.70,-1.675,6,0,7
2020-05-26,M (Jun 2020),30.0500,30.6000,28.6500,29.6000,29.45,-0.25,19,0,15
2020-05-27,M (Jun 2020),29.3000,30.6000,28.7000,29.0000,28.75,-0.70,6,0,15
2020-05-28,M (Jun 2020),29.2500,30.5000,29.0000,29.2500,29.875,1.125,3,0,18
2020-05-29,M (Jun 2020),0.0000,30.9500,28.7500,0.0000,28.80,-1.075,0,0,18
2020-06-01,M (Jun 2020),0.0000,30.5500,29.0500,0.0000,29.15,0.35,0,0,18
2020-06-02,M (Jun 2020),28.7000,29.0500,27.7500,28.1000,27.80,-1.35,13,0,20
2020-06-03,M (Jun 2020),27.2500,27.6500,26.0500,26.0500,26.55,-1.25,17,0,13
2020-06-04,M (Jun 2020),25.3000,26.9500,25.0500,25.4000,26.45,-0.10,7,0,16
2020-06-05,M (Jun 2020),25.6000,25.7500,24.4000,25.6000,25.00,-1.45,5,0,13
2020-06-08,M (Jun 2020),24.9500,25.9000,24.7000,25.5000,25.80,0.80,22,0,13
2020-06-09,M (Jun 2020),27.1000,27.6000,26.2500,27.5000,27.50,1.70,22,0,20
2020-06-10,M (Jun 2020),0.0000,3.8000,0.0000,0.0000,27.35,-0.15,0,0,20
