Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2020-02-13,J (Apr 2020),0.0000,5.0000,30.0000,0.0000,15.7750,0,0,0,0
2020-02-14,J (Apr 2020),0.0000,15.3500,15.9500,0.0000,15.5250,-0.2500,0,0,0
2020-02-18,J (Apr 2020),0.0000,15.6500,16.1000,0.0000,15.9250,0.4000,0,0,0
2020-02-19,J (Apr 2020),15.8500,16.1000,15.7500,16.0500,15.9750,0.0500,10,0,10
2020-02-20,J (Apr 2020),0.0000,16.7500,16.0000,0.0000,16.4000,0.4250,0,0,10
2020-02-21,J (Apr 2020),0.0000,17.2500,16.7500,0.0000,17.0250,0.6250,0,0,10
2020-02-24,J (Apr 2020),0.0000,19.6500,19.4500,0.0000,20.1500,3.1250,0,0,10
2020-02-25,J (Apr 2020),22.7000,22.7000,20.1000,21.0500,20.8250,0.6750,2,0,10
2020-02-26,J (Apr 2020),21.2500,21.6000,20.4500,21.2500,21.4250,0.6000,2,0,10
2020-02-27,J (Apr 2020),22.5000,23.7000,22.5000,22.6500,24.5250,3.1000,20,0,22
2020-02-28,J (Apr 2020),26.2500,26.6500,25.1500,25.5000,25.7500,1.2250,7,0,19
2020-03-02,J (Apr 2020),25.1500,25.1500,24.4000,25.0000,24.7500,-1.0000,25,0,25
2020-03-03,J (Apr 2020),24.7500,27.0000,24.7500,27.0000,26.7750,2.0250,26,0,51
2020-03-04,J (Apr 2020),26.1000,26.1500,25.8500,26.1000,25.7500,-1.0250,10,0,61
2020-03-05,J (Apr 2020),28.6500,31.0000,27.4000,31.0000,29.1500,3.4000,7,0,62
2020-03-06,J (Apr 2020),33.4000,35.3000,32.1500,33.4000,32.6000,3.4500,1,0,62
2020-03-09,J (Apr 2020),0.0000,42.9500,42.7000,0.0000,40.3750,7.7750,0,0,62
2020-03-10,J (Apr 2020),0.0000,40.3500,38.2000,0.0000,38.0750,-2.3000,0,0,62
2020-03-11,J (Apr 2020),0.0000,42.9000,41.2000,0.0000,42.2250,4.1500,0,0,62
2020-03-12,J (Apr 2020),0.0000,50.5500,50.4500,0.0000,52.2500,10.0250,0,0,62
2020-03-13,J (Apr 2020),49.6000,52.9500,48.7000,51.4500,48.3500,-3.9000,15,0,57
2020-03-16,J (Apr 2020),0.0000,63.9500,62.8000,0.0000,66.2500,17.9000,0,0,57
2020-03-17,J (Apr 2020),64.9000,67.1000,63.5000,65.0000,65.6250,-0.6250,6,0,51
2020-03-18,J (Apr 2020),0.0000,75.2000,74.2000,0.0000,73.8750,8.2500,0,0,51
2020-03-19,J (Apr 2020),0.0000,75.4000,59.2500,0.0000,69.6750,-4.2000,0,0,51
2020-03-20,J (Apr 2020),54.7000,63.9000,54.7000,59.4000,64.1500,-5.5250,13,0,45
2020-03-23,J (Apr 2020),62.1500,62.1500,55.7000,57.7000,54.0250,-10.1250,27,0,54
2020-03-24,J (Apr 2020),41.7000,52.0000,41.7000,50.0000,53.9000,-0.1250,4,0,58
2020-03-25,J (Apr 2020),0.0000,55.8000,56.5500,0.0000,56.9250,3.0250,0,0,58
2020-03-26,J (Apr 2020),55.5000,56.4000,54.5500,56.0500,57.0500,0.1250,6,0,63
2020-03-27,J (Apr 2020),60.3000,60.8500,58.4000,60.6000,60.4500,3.4000,14,0,57
2020-03-30,J (Apr 2020),0.0000,56.9000,55.9000,0.0000,56.1000,-4.3500,0,0,57
2020-03-31,J (Apr 2020),54.3000,54.3000,51.3000,53.9500,52.6750,-3.4250,11,0,58
2020-04-01,J (Apr 2020),0.0000,5.4000,82.5000,0.0000,58.3300,5.6550,0,0,58
