Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2019-07-25,U (Sep 2019),0.0000,15.7500,15.9000,0.0000,15.8500,0,0,0,0
2019-07-26,U (Sep 2019),0.0000,15.1000,15.5000,0.0000,15.3000,-0.5500,0,0,0
2019-07-29,U (Sep 2019),0.0000,14.9000,15.6000,0.0000,15.2750,-0.0250,0,0,0
2019-07-30,U (Sep 2019),0.0000,15.3500,16.0000,0.0000,15.8750,0.6000,0,0,0
2019-07-31,U (Sep 2019),0.0000,16.2500,15.8500,0.0000,16.6750,0.8000,0,0,0
2019-08-01,U (Sep 2019),0.0000,17.6000,16.2000,0.0000,17.7250,1.0500,0,0,0
2019-08-02,U (Sep 2019),18.0000,18.0000,17.8000,17.8000,18.0500,0.3250,4,0,0
2019-08-05,U (Sep 2019),19.8000,20.6000,19.7500,19.8000,20.9750,2.9250,5,0,5
2019-08-06,U (Sep 2019),0.0000,20.1000,19.8500,0.0000,19.4750,-1.5000,0,0,5
2019-08-07,U (Sep 2019),0.0000,20.4000,19.8500,0.0000,19.3250,-0.1500,0,0,5
2019-08-08,U (Sep 2019),0.0000,18.5000,18.1500,0.0000,17.8750,-1.4500,0,0,5
2019-08-09,U (Sep 2019),18.8500,18.8500,18.8500,18.8500,18.7000,0.8250,5,0,10
2019-08-12,U (Sep 2019),18.3000,20.0500,18.3000,20.0000,20.5750,1.8750,4,0,13
2019-08-13,U (Sep 2019),0.0000,20.0500,19.0000,0.0000,18.4250,-2.1500,0,0,13
2019-08-14,U (Sep 2019),0.0000,20.8000,20.4000,0.0000,21.0500,2.6250,0,0,13
2019-08-15,U (Sep 2019),0.0000,21.1000,21.3500,0.0000,20.9250,-0.1250,0,0,13
2019-08-16,U (Sep 2019),0.0000,19.6500,19.8500,0.0000,19.2000,-1.7250,0,0,13
2019-08-19,U (Sep 2019),0.0000,17.6000,17.6500,0.0000,17.7250,-1.4750,0,0,13
2019-08-20,U (Sep 2019),0.0000,18.0500,18.0000,0.0000,18.3250,0.6000,0,0,13
2019-08-21,U (Sep 2019),0.0000,16.7500,17.4500,0.0000,16.8750,-1.4500,0,0,13
2019-08-22,U (Sep 2019),0.0000,17.4500,17.4500,0.0000,17.4750,0.6000,0,0,13
2019-08-23,U (Sep 2019),17.8000,19.8500,17.8000,18.8000,19.6750,2.2000,16,0,17
2019-08-26,U (Sep 2019),19.8000,20.1000,19.5000,19.8000,19.2500,-0.4250,1,0,17
2019-08-27,U (Sep 2019),20.0000,20.3500,19.0500,20.0000,20.3000,1.0500,3,0,16
2019-08-28,U (Sep 2019),20.9500,20.9500,19.7000,20.9500,19.5250,-0.7750,2,0,18
2019-08-29,U (Sep 2019),0.0000,18.7500,18.3000,0.0000,18.5250,-1.0000,0,0,18
2019-08-30,U (Sep 2019),0.0000,19.0000,18.3000,0.0000,19.2500,0.7250,0,0,18
2019-09-03,U (Sep 2019),20.1500,20.3500,19.7500,20.1500,19.7750,0.5250,1,0,19
2019-09-04,U (Sep 2019),0.0000,5.0000,0.0000,0.0000,18.3600,-1.4150,0,0,19
