Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2018-07-26,U (Sep 2018),0.0000,14.4500,15.0500,0.0000,14.7500,0,0,0,0
2018-07-27,U (Sep 2018),0.0000,15.2500,15.0000,0.0000,15.2000,0.4500,0,0,0
2018-07-30,U (Sep 2018),0.0000,15.0500,15.5000,0.0000,15.5750,0.3750,0,0,0
2018-07-31,U (Sep 2018),0.0000,14.6500,15.4000,0.0000,14.8500,-0.7250,0,0,0
2018-08-01,U (Sep 2018),14.9500,15.2000,14.9000,14.9500,15.1500,0.3000,1,0,1
2018-08-02,U (Sep 2018),15.2000,15.5000,14.9000,14.9500,14.8500,-0.3000,6,0,7
2018-08-03,U (Sep 2018),0.0000,14.6500,14.6500,0.0000,14.6500,-0.2000,0,0,7
2018-08-06,U (Sep 2018),0.0000,14.4500,14.2500,0.0000,14.1500,-0.5000,0,0,7
2018-08-07,U (Sep 2018),14.0000,14.0000,13.9500,14.0000,13.9000,-0.2500,2,0,7
2018-08-08,U (Sep 2018),0.0000,13.6500,13.7500,0.0000,13.7500,-0.1500,0,0,7
2018-08-09,U (Sep 2018),13.7000,13.9000,13.6000,13.6500,14.0000,0.2500,2,0,9
2018-08-10,U (Sep 2018),14.0000,14.2500,14.0000,14.0000,14.3500,0.3500,2,0,7
2018-08-13,U (Sep 2018),0.0000,14.9500,14.4500,0.0000,15.3500,1.0000,0,0,7
2018-08-14,U (Sep 2018),0.0000,14.6000,14.8500,0.0000,14.4750,-0.8750,0,0,7
2018-08-15,U (Sep 2018),0.0000,16.0500,15.7000,0.0000,15.1750,0.7000,0,0,7
2018-08-16,U (Sep 2018),0.0000,14.4000,14.5000,0.0000,14.3250,-0.8500,0,0,7
2018-08-17,U (Sep 2018),14.3500,14.5500,14.2500,14.2500,14.1000,-0.2250,2,0,7
2018-08-20,U (Sep 2018),13.9000,13.9200,13.7500,13.7500,13.9000,-0.2000,32,0,39
2018-08-21,U (Sep 2018),13.6500,14.2000,13.6500,13.6500,14.3000,0.4000,4,0,43
2018-08-22,U (Sep 2018),13.9500,13.9500,13.8000,13.8500,13.6250,-0.6750,24,0,62
2018-08-23,U (Sep 2018),0.0000,13.4500,13.6000,0.0000,13.5750,-0.0500,0,0,62
2018-08-24,U (Sep 2018),0.0000,13.2000,13.5500,0.0000,13.4250,-0.1500,0,0,62
2018-08-27,U (Sep 2018),13.7000,13.7000,13.3000,13.7000,13.2000,-0.2250,1,0,62
2018-08-28,U (Sep 2018),13.2500,13.3500,13.2000,13.2500,13.4500,0.2500,1,0,62
2018-08-29,U (Sep 2018),13.1500,13.2500,13.1500,13.1500,13.4250,-0.0250,3,0,65
2018-08-30,U (Sep 2018),0.0000,14.1500,13.6500,0.0000,14.0250,0.6000,0,0,65
2018-08-31,U (Sep 2018),0.0000,14.1000,13.9000,0.0000,13.5750,-0.4500,0,0,65
2018-09-04,U (Sep 2018),13.8500,14.5500,13.4500,13.4500,13.4750,-0.1000,36,0,55
2018-09-05,U (Sep 2018),0.0000,13.1000,0.0000,0.0000,13.8100,0.3350,0,0,55
