Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2018-03-15,K (May 2018),0.0000,15.5500,19.2000,0.0000,17.2250,0,0,0,0
2018-03-16,K (May 2018),0.0000,15.3500,18.7500,0.0000,17.1000,-0.1250,0,0,0
2018-03-19,K (May 2018),0.0000,17.6500,17.3000,0.0000,17.4750,0.3750,0,0,0
2018-03-20,K (May 2018),0.0000,17.1000,18.1000,0.0000,17.3250,-0.1500,0,0,0
2018-03-21,K (May 2018),0.0000,16.7500,17.2000,0.0000,17.4250,0.1000,0,0,0
2018-03-22,K (May 2018),0.0000,18.4000,18.4500,0.0000,18.7250,1.3000,0,0,0
2018-03-23,K (May 2018),0.0000,19.3500,18.9500,0.0000,19.6250,0.9000,0,0,0
2018-03-26,K (May 2018),0.0000,19.1000,19.5000,0.0000,18.9250,-0.7000,0,0,0
2018-03-27,K (May 2018),0.0000,19.9500,19.3500,0.0000,19.8000,0.8750,0,0,0
2018-03-28,K (May 2018),0.0000,20.3500,19.7000,0.0000,20.1250,0.3250,0,0,0
2018-03-29,K (May 2018),0.0000,19.9000,18.8000,0.0000,19.1500,-0.9750,0,0,0
2018-04-02,K (May 2018),20.6000,20.8500,19.3000,20.6000,20.2250,1.0750,1,0,1
2018-04-03,K (May 2018),19.9000,20.2500,19.7500,19.9000,19.8000,-0.4250,3,0,4
2018-04-04,K (May 2018),0.0000,20.9000,19.7000,0.0000,19.3750,-0.4250,0,0,4
2018-04-05,K (May 2018),0.0000,19.1000,18.9500,0.0000,18.7750,-0.6000,0,0,4
2018-04-06,K (May 2018),0.0000,20.5500,19.4000,0.0000,20.0500,1.2750,0,0,4
2018-04-09,K (May 2018),0.0000,19.7500,19.9500,0.0000,20.1750,0.1250,0,0,4
2018-04-10,K (May 2018),0.0000,19.8000,19.7000,0.0000,19.6750,-0.5000,0,0,4
2018-04-11,K (May 2018),19.4500,19.9000,19.3500,19.4500,19.6500,-0.0250,4,0,1
2018-04-12,K (May 2018),18.6500,18.9500,18.5500,18.6000,18.7000,-0.9500,11,0,11
2018-04-13,K (May 2018),18.1500,18.5000,18.0000,18.3500,18.0500,-0.6500,11,0,6
2018-04-16,K (May 2018),17.1500,17.5000,16.9500,17.1500,17.0500,-1.0000,19,0,25
2018-04-17,K (May 2018),15.5500,16.6000,15.5500,15.5500,15.9000,-1.1500,12,0,37
2018-04-18,K (May 2018),16.3000,16.5000,15.8000,16.2000,15.8500,-0.0500,13,0,40
2018-04-19,K (May 2018),16.1500,16.6000,15.9500,16.6000,16.1500,0.3000,8,0,46
2018-04-20,K (May 2018),16.5500,16.9500,15.8500,16.8000,16.8500,0.7000,46,0,55
2018-04-23,K (May 2018),16.5000,16.8500,15.9500,16.6000,16.3250,-0.5250,8,0,56
2018-04-24,K (May 2018),17.0500,18.1000,15.7500,17.2000,17.1250,0.8000,69,0,70
2018-04-25,K (May 2018),18.0000,18.1500,17.2500,17.3000,17.4500,0.3250,145,0,158
2018-04-26,K (May 2018),17.0500,17.3500,16.7000,16.9000,16.6000,-0.8500,46,0,189
2018-04-27,K (May 2018),16.5000,17.0000,16.1000,16.1500,16.0750,-0.5250,83,0,180
2018-04-30,K (May 2018),16.0000,16.3500,15.5500,15.9500,16.0500,-0.0250,45,0,192
2018-05-01,K (May 2018),16.4500,16.8000,15.7500,15.8000,15.8750,-0.1750,45,0,180
2018-05-02,K (May 2018),14.3000,16.0500,14.3000,14.3000,15.3500,-0.5250,1,0,180
