Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2018-09-06,V (Oct 2018),0.0000,15.5000,16.1000,0.0000,16.0750,0,0,0,0
2018-09-07,V (Oct 2018),0.0000,15.7500,16.4500,0.0000,16.2500,0.1750,0,0,0
2018-09-10,V (Oct 2018),0.0000,15.3000,16.2000,0.0000,15.7250,-0.5250,0,0,0
2018-09-11,V (Oct 2018),0.0000,15.3000,15.8000,0.0000,15.2000,-0.5250,0,0,0
2018-09-12,V (Oct 2018),15.1000,15.1000,14.9500,15.0000,14.4250,-0.7750,2,0,2
2018-09-13,V (Oct 2018),0.0000,13.9500,15.0500,0.0000,14.5500,0.1250,0,0,2
2018-09-14,V (Oct 2018),0.0000,14.4500,14.6500,0.0000,14.5000,-0.0500,0,0,2
2018-09-17,V (Oct 2018),0.0000,14.5000,14.6500,0.0000,14.8000,0.3000,0,0,2
2018-09-18,V (Oct 2018),0.0000,14.5000,14.7500,0.0000,14.7000,-0.1000,0,0,2
2018-09-19,V (Oct 2018),0.0000,14.1500,14.5000,0.0000,14.3500,-0.3500,0,0,2
2018-09-20,V (Oct 2018),14.2500,14.2500,14.1500,14.2500,14.4000,0.0500,2,0,2
2018-09-21,V (Oct 2018),0.0000,14.1500,14.2500,0.0000,14.4750,0.0750,0,0,2
2018-09-24,V (Oct 2018),0.0000,14.1000,14.2500,0.0000,14.2000,-0.2750,0,0,2
2018-09-25,V (Oct 2018),0.0000,14.1500,14.2000,0.0000,14.3250,0.1250,0,0,2
2018-09-26,V (Oct 2018),14.5000,14.5000,14.5000,14.5000,14.5500,0.2250,1,0,2
2018-09-27,V (Oct 2018),0.0000,14.0500,14.5500,0.0000,14.4250,-0.1250,0,0,2
2018-09-28,V (Oct 2018),0.0000,14.1500,14.9000,0.0000,14.3750,-0.0500,0,0,2
2018-10-01,V (Oct 2018),0.0000,13.9000,14.2000,0.0000,14.1000,-0.2750,0,0,2
2018-10-02,V (Oct 2018),0.0000,14.0000,14.2500,0.0000,14.2000,0.1000,0,0,2
2018-10-03,V (Oct 2018),13.9000,13.9500,13.8500,13.9000,14.2250,0.0250,4,0,6
2018-10-04,V (Oct 2018),0.0000,15.3000,14.5000,0.0000,15.0500,0.8250,0,0,6
2018-10-05,V (Oct 2018),16.2000,16.2000,15.0500,16.2000,15.3500,0.3000,5,0,9
2018-10-08,V (Oct 2018),0.0000,16.1500,16.0000,0.0000,15.7000,0.3500,0,0,9
2018-10-09,V (Oct 2018),15.5500,15.8500,15.5500,15.5500,15.9500,0.2500,1,0,9
2018-10-10,V (Oct 2018),0.0000,18.9500,17.0500,0.0000,19.7000,3.7500,0,0,9
2018-10-11,V (Oct 2018),18.8500,20.8000,18.8500,19.7500,19.5500,-0.1500,108,0,90
2018-10-12,V (Oct 2018),18.6000,20.3500,18.0000,19.7000,18.9750,-0.5750,34,0,96
2018-10-15,V (Oct 2018),19.4500,19.6000,19.0000,19.6000,19.1500,0.1750,5,0,91
2018-10-16,V (Oct 2018),17.2000,17.4000,17.2000,17.2000,17.9000,-1.2500,17,0,84
2018-10-17,V (Oct 2018),17.7500,17.7500,17.0000,17.0000,17.1500,-0.7500,6,0,80
2018-10-18,V (Oct 2018),17.8000,19.6500,17.0500,19.5000,19.0750,1.9250,14,0,90
2018-10-19,V (Oct 2018),18.6000,19.5500,18.4500,19.5500,19.2000,0.1250,28,0,83
2018-10-22,V (Oct 2018),18.6500,19.8500,18.6500,19.0000,19.2250,0.0250,50,0,133
2018-10-23,V (Oct 2018),21.3000,22.0000,21.0000,21.3000,20.3250,1.1000,10,0,133
2018-10-24,V (Oct 2018),0.0000,12.1500,27.8000,0.0000,21.1400,0.8150,0,0,133
