Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2016-10-12,X (Nov 2016),0,0,0,0,0,0,0,0,0
2016-10-13,X (Nov 2016),0.0000,18.4000,18.1500,0.0000,18.1500,0,0,0,0
2016-10-14,X (Nov 2016),0.0000,17.9500,17.8500,0.0000,18.0250,-0.1250,0,0,0
2016-10-17,X (Nov 2016),17.7500,18.0000,17.7500,17.7500,17.7000,-0.3250,1,0,1
2016-10-18,X (Nov 2016),0.0000,17.5000,17.3000,0.0000,17.2750,-0.4250,0,0,1
2016-10-19,X (Nov 2016),0.0000,17.0000,16.9000,0.0000,16.9250,-0.3500,0,0,1
2016-10-20,X (Nov 2016),16.8500,17.0000,16.8000,16.8500,16.6500,-0.2750,6,0,7
2016-10-21,X (Nov 2016),0.0000,16.8000,16.5500,0.0000,16.5750,-0.0750,0,0,7
2016-10-24,X (Nov 2016),0.0000,16.3500,15.9500,0.0000,15.9250,-0.6500,0,0,7
2016-10-25,X (Nov 2016),16.2000,16.2000,16.0000,16.1000,16.0500,0.1250,3,0,8
2016-10-26,X (Nov 2016),0.0000,16.4000,16.1500,0.0000,15.8500,-0.2000,0,0,8
2016-10-27,X (Nov 2016),16.4000,16.6500,16.2500,16.6000,16.2500,0.4000,5,0,13
2016-10-28,X (Nov 2016),17.3000,17.3500,16.5000,17.0500,16.9500,0.7000,6,0,18
2016-10-31,X (Nov 2016),0.0000,17.5000,17.1000,0.0000,17.5250,0.5750,0,0,18
2016-11-01,X (Nov 2016),18.2500,18.6500,17.4500,18.3500,17.9500,0.4250,16,0,6
2016-11-02,X (Nov 2016),0.0000,18.3500,17.9500,0.0000,18.3250,0.3750,0,0,6
2016-11-03,X (Nov 2016),18.9500,19.3000,18.2000,19.3000,20.1000,1.7750,2,0,5
2016-11-04,X (Nov 2016),18.8000,19.3000,18.3500,19.1000,19.0000,-1.1000,56,0,31
2016-11-07,X (Nov 2016),17.1500,17.3000,16.5500,17.1500,16.3750,-2.6250,3,0,31
2016-11-08,X (Nov 2016),16.7500,16.9000,16.2500,16.5000,16.3500,-0.0250,3,0,31
2016-11-09,X (Nov 2016),16.0000,21.1500,15.5500,15.5500,15.6000,-0.7500,3,0,29
2016-11-10,X (Nov 2016),16.2500,16.8000,15.3000,16.4500,16.3250,0.7250,8,0,25
2016-11-11,X (Nov 2016),16.9000,16.9500,16.2000,16.9500,16.0500,-0.2750,5,0,25
2016-11-14,X (Nov 2016),15.8500,16.6500,15.8500,16.1500,15.8750,-0.1750,5,0,25
2016-11-15,X (Nov 2016),15.4000,15.8000,14.9500,15.3000,14.8750,-1.0000,2,0,25
2016-11-16,X (Nov 2016),15.2500,15.4500,14.9500,15.2000,15.2500,0.3750,34,0,50
2016-11-17,X (Nov 2016),14.9500,15.2000,14.7000,14.7000,14.8000,-0.4500,67,0,116
2016-11-18,X (Nov 2016),14.4900,14.8500,14.4000,14.4000,14.4500,-0.3500,33,0,149
2016-11-21,X (Nov 2016),14.3000,14.3000,13.3000,13.3500,13.4500,-1.0000,56,0,190
2016-11-22,X (Nov 2016),13.4000,13.6500,13.1500,13.2500,13.3250,-0.1250,38,0,224
2016-11-23,X (Nov 2016),13.5000,13.7000,13.2500,13.4500,13.3750,0.0500,104,0,294
2016-11-25,X (Nov 2016),13.2000,13.4500,13.1000,13.1500,13.0500,-0.3250,73,0,297
2016-11-28,X (Nov 2016),13.5500,13.6000,13.0500,13.3000,13.3000,0.2500,80,0,318
2016-11-29,X (Nov 2016),13.6500,13.6500,12.9000,13.2000,13.1000,-0.2000,84,0,349
2016-11-30,X (Nov 2016),12.7000,12.9500,12.7000,12.7000,12.4200,-0.6800,1,0,350
