Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2016-08-10,U (Sep 2016),0,0,0,0,0,0,0,0,0
2016-08-11,U (Sep 2016),15.2500,15.2500,15.0500,15.2500,15.1500,0,15,0,15
2016-08-12,U (Sep 2016),15.4500,15.4500,15.1500,15.1500,15.4250,0.2750,36,0,51
2016-08-15,U (Sep 2016),0.0000,14.8000,14.9500,0.0000,14.8500,-0.5750,0,0,51
2016-08-16,U (Sep 2016),0.0000,15.2000,15.0000,0.0000,15.5250,0.6750,0,0,51
2016-08-17,U (Sep 2016),15.5000,15.5000,14.9000,15.0500,14.8500,-0.6750,20,0,56
2016-08-18,U (Sep 2016),15.0500,15.1000,14.7000,14.9000,14.6250,-0.2250,6,0,62
2016-08-19,U (Sep 2016),0.0000,14.9000,14.7000,0.0000,14.7000,0.0750,0,0,62
2016-08-22,U (Sep 2016),0.0000,14.9500,14.8000,0.0000,14.8000,0.1000,0,0,62
2016-08-23,U (Sep 2016),15.0500,15.0500,14.7000,15.0500,14.7500,-0.0500,2,0,64
2016-08-24,U (Sep 2016),0.0000,15.2000,14.8000,0.0000,15.1500,0.4000,0,0,64
2016-08-25,U (Sep 2016),15.4000,15.4000,15.0500,15.1000,15.0500,-0.1000,9,0,73
2016-08-26,U (Sep 2016),15.0000,15.6500,14.6500,15.4500,15.2500,0.2000,65,0,123
2016-08-29,U (Sep 2016),14.9400,15.2500,14.8500,14.9400,14.8250,-0.4250,1,0,123
2016-08-30,U (Sep 2016),14.7500,14.9500,14.7500,14.9000,14.7000,-0.1250,7,0,123
2016-08-31,U (Sep 2016),14.9500,15.1500,14.8000,14.9500,14.8250,0.1250,50,0,173
2016-09-01,U (Sep 2016),14.7500,15.2000,14.6500,14.6500,14.8500,0.0250,2,0,175
2016-09-02,U (Sep 2016),14.6500,14.9000,14.3000,14.6500,14.3250,-0.5250,1,0,176
2016-09-06,U (Sep 2016),14.1500,14.3000,13.9000,14.0000,14.0500,-0.2750,14,0,186
2016-09-07,U (Sep 2016),13.9000,13.9500,13.7500,13.8000,13.7250,-0.3250,5,0,187
2016-09-08,U (Sep 2016),14.0500,14.0500,13.4500,13.4500,13.8750,0.1500,2,0,187
2016-09-09,U (Sep 2016),14.7500,16.5500,13.9000,16.2500,16.5250,2.6500,76,0,189
2016-09-12,U (Sep 2016),17.3000,17.3000,14.9500,15.1500,15.1500,-1.3750,64,0,201
2016-09-13,U (Sep 2016),16.1000,17.9500,15.4500,17.6500,17.3750,2.2250,25,0,215
2016-09-14,U (Sep 2016),17.0500,17.9000,16.6500,17.6500,18.0250,0.6500,27,0,236
2016-09-15,U (Sep 2016),17.7500,18.1000,16.5000,16.5000,16.9000,-1.1250,43,0,260
2016-09-16,U (Sep 2016),17.2500,17.3500,16.1500,16.1500,16.2000,-0.7000,138,0,384
2016-09-19,U (Sep 2016),15.3000,16.0500,15.1000,15.8700,15.7250,-0.4750,125,0,490
2016-09-20,U (Sep 2016),15.7000,16.2000,15.3000,16.0500,16.0250,0.3000,159,0,647
2016-09-21,U (Sep 2016),15.6500,16.0000,14.0500,14.1500,14.1250,-1.9000,451,0,830
2016-09-22,U (Sep 2016),13.2500,14.2000,12.9500,13.1500,13.1000,-1.0250,192,0,875
2016-09-23,U (Sep 2016),13.1500,13.4500,12.9500,13.2000,13.2250,0.1250,94,0,925
2016-09-26,U (Sep 2016),14.2500,14.7000,13.1500,14.6000,14.6000,1.3750,91,0,926
2016-09-27,U (Sep 2016),14.6500,14.9000,13.2800,13.4500,13.4000,-1.2000,70,0,952
2016-09-28,U (Sep 2016),13.2500,13.6500,13.2500,13.3000,13.0500,-0.3500,3,0,950
