Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2017-11-29,F (Jan 2018),0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
2017-11-30,F (Jan 2018),0.0000,12.4000,12.4000,0,12.4500,0,0,0,0
2017-12-01,F (Jan 2018),0.0000,13.2000,12.4500,0.0000,12.6250,0.1750,0,0,0
2017-12-04,F (Jan 2018),12.2000,12.6000,12.1000,12.2000,12.6750,0.0500,1,0,1
2017-12-05,F (Jan 2018),0.0000,12.6000,12.3500,0.0000,12.6250,-0.0500,0,0,1
2017-12-06,F (Jan 2018),0.0000,12.6500,12.6000,0.0000,12.5250,-0.1000,0,0,1
2017-12-07,F (Jan 2018),0.0000,12.3000,12.1500,0.0000,12.1000,-0.4250,0,0,1
2017-12-08,F (Jan 2018),0.0000,11.9000,11.7500,0.0000,11.6500,-0.4500,0,0,1
2017-12-11,F (Jan 2018),11.5500,11.7000,11.5000,11.5500,11.4500,-0.2000,1,0,2
2017-12-12,F (Jan 2018),0.0000,11.4500,11.4000,0.0000,11.5000,0.0500,0,0,2
2017-12-13,F (Jan 2018),11.4000,11.5000,11.4000,11.4000,11.4500,-0.0500,5,0,7
2017-12-14,F (Jan 2018),11.4000,11.7000,11.4000,11.4000,11.4500,0.0000,1,0,7
2017-12-15,F (Jan 2018),11.1000,11.3000,10.9500,11.1500,11.0250,-0.4250,13,0,19
2017-12-18,F (Jan 2018),0.0000,10.9000,10.8500,0.0000,10.8250,-0.2000,0,0,19
2017-12-19,F (Jan 2018),11.0500,11.1500,10.9000,11.0500,11.1250,0.3000,1,0,18
2017-12-20,F (Jan 2018),10.9500,11.1000,10.8000,11.0500,11.0750,-0.0500,4,0,18
2017-12-21,F (Jan 2018),11.1000,11.1000,11.0000,11.0500,10.9750,-0.1000,8,0,25
2017-12-22,F (Jan 2018),10.9500,11.2000,10.9500,11.1500,11.1250,0.1500,21,0,34
2017-12-26,F (Jan 2018),11.0000,11.1000,11.0000,11.0000,11.1000,-0.0250,2,0,34
2017-12-27,F (Jan 2018),10.8500,11.2000,10.8500,10.9500,11.0250,-0.0750,106,0,112
2017-12-28,F (Jan 2018),10.9500,11.0000,10.9000,10.9000,10.9000,-0.1250,87,0,192
2017-12-29,F (Jan 2018),10.8500,11.3000,10.8500,11.3000,11.3000,0.4000,168,0,324
2018-01-02,F (Jan 2018),10.9500,10.9500,10.4000,10.4000,10.4250,-0.8750,94,0,374
2018-01-03,F (Jan 2018),10.4000,10.4000,9.9500,10.1000,10.0250,-0.4000,294,0,395
2018-01-04,F (Jan 2018),10.0000,10.2500,9.9500,10.2500,10.2000,0.1750,83,0,336
2018-01-05,F (Jan 2018),10.0000,10.2000,9.9500,10.0500,10.0500,-0.1500,101,0,284
2018-01-08,F (Jan 2018),9.9000,10.0000,9.6500,9.8500,9.7750,-0.2750,86,0,210
2018-01-09,F (Jan 2018),9.7000,10.2000,9.6500,10.2000,10.1500,0.3750,170,0,151
2018-01-10,F (Jan 2018),10.4000,10.5000,10.3000,10.4000,10.2900,0.1400,1,0,152
