Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2021-06-03,N (Jul 2021),0.0000,10.0000,42.0000,0.0000,21.25,0,0,0,0
2021-06-04,N (Jul 2021),0.0000,0.0000,0.0000,0.0000,20.325,-0.925,0,0,0
2021-06-07,N (Jul 2021),0.0000,0.0000,0.0000,0.0000,20.00,-0.325,0,0,0
2021-06-08,N (Jul 2021),0.0000,0.0000,0.0000,0.0000,20.225,0.225,0,0,0
2021-06-09,N (Jul 2021),0.0000,0.0000,0.0000,0.0000,20.375,0.150,0,0,0
2021-06-10,N (Jul 2021),0.0000,19.9500,19.7000,0.0000,19.475,-0.900,0,0,0
2021-06-11,N (Jul 2021),0.0000,0.0000,0.0000,0.0000,18.95,-0.525,0,0,0
2021-06-14,N (Jul 2021),0.0000,19.4000,19.2000,0.0000,19.25,0.30,0,0,0
2021-06-15,N (Jul 2021),19.4500,19.5500,19.0500,19.3000,19.525,0.275,2,0,2
2021-06-16,N (Jul 2021),19.2500,19.9500,19.0000,19.8000,19.45,-0.075,22,0,22
2021-06-17,N (Jul 2021),0.0000,20.0000,18.9500,0.0000,19.525,0.075,0,0,22
2021-06-18,N (Jul 2021),20.3000,21.3000,19.3500,21.3000,20.775,1.250,18,0,38
2021-06-21,N (Jul 2021),21.0000,21.5500,19.7000,20.3500,19.925,-0.850,9,0,39
2021-06-22,N (Jul 2021),19.8500,20.1500,18.7500,18.7500,18.85,-1.075,46,0,7
2021-06-23,N (Jul 2021),18.6000,18.9500,18.5000,18.6500,18.70,-0.15,3,0,9
2021-06-24,N (Jul 2021),18.3500,18.4000,18.1000,18.1000,18.30,-0.40,6,0,11
2021-06-25,N (Jul 2021),18.2500,18.3500,17.9500,18.0500,17.925,-0.375,20,0,31
2021-06-28,N (Jul 2021),17.7000,18.1500,17.7000,17.8500,17.95,0.025,10,0,41
2021-06-29,N (Jul 2021),17.7000,18.1500,17.7000,18.1500,18.20,0.25,18,0,59
2021-06-30,N (Jul 2021),18.2500,18.4000,17.7500,18.3500,17.875,-0.325,7,0,58
2021-07-01,N (Jul 2021),17.6000,17.8000,17.3500,17.6500,17.35,-0.525,6,0,60
2021-07-02,N (Jul 2021),0.0000,17.4000,16.8000,0.0000,17.075,-0.275,0,0,60
2021-07-06,N (Jul 2021),17.3000,18.3500,16.9500,17.2000,17.40,0.325,12,0,59
2021-07-07,N (Jul 2021),17.3000,18.0500,17.1000,17.3000,17.35,-0.05,22,0,70
2021-07-08,N (Jul 2021),18.2000,20.4000,17.9000,19.2500,19.275,1.925,92,0,45
2021-07-09,N (Jul 2021),18.4000,19.2000,17.1500,18.0000,17.175,-2.100,11,0,51
2021-07-12,N (Jul 2021),16.5500,17.6000,16.4500,16.7500,16.50,-0.675,3,0,51
2021-07-13,N (Jul 2021),16.2500,17.2500,16.2000,17.2500,17.20,0.70,53,0,48
2021-07-14,N (Jul 2021),0.0000,17.5000,16.3000,0.0000,16.22,-0.98,0,0,47
